Mood,Tamil Song,Tamil Movie,Travel Location,Famous Places,Famous Hotels with Price,Food,Book
Adventurous,Nenjukkul Peidhidum,Vaaranam Aayiram,Shimla,"Dudhsagar Falls, Baga Beach, Aguada Fort",Sterling Kodai Lake (₹6000/night),Pizza,Atomic Habits
Romantic,Ullam Urugudhaiya,Vaaranam Aayiram,Munnar,"Kufri, Jakhoo Temple, Mall Road",Sterling Kodai Lake (₹6000/night),Pizza,The Alchemist
Happy,Ullam Urugudhaiya,Thani Oruvan,Kodaikanal,"Hadimba Temple, Solang Valley, Rohtang Pass",Manu Allaya Resort (₹7500/night),Pasta,Ikigai
Romantic,Nenjukkul Peidhidum,Deiva Thirumagal,Manali,"Mall Road, Kufri, Jakhoo Temple",Span Resort & Spa (₹10000/night),Biryani,Ikigai
Adventurous,Munbe Vaa,Minnale,Munnar,"Pillar Rocks, Coaker's Walk, Bryant Park",Sterling Kodai Lake (₹6000/night),Pizza,Sapiens
Romantic,Munbe Vaa,Minnale,Kodaikanal,"Doddabetta Peak, Botanical Garden, Ooty Lake",The Leela (₹15000/night),Biryani,Big Magic
Calm,Munbe Vaa,Sillunu Oru Kadhal,Manali,"Coaker's Walk, Pillar Rocks, Bryant Park",The Leela (₹15000/night),Chocolate Ice Cream,Big Magic
Happy,Munbe Vaa,Vaaranam Aayiram,Manali,"Pillar Rocks, Bryant Park, Coaker's Walk",Wildflower Hall (₹13000/night),Pasta,Big Magic
Adventurous,Ullam Urugudhaiya,Thani Oruvan,Ooty,"Aguada Fort, Dudhsagar Falls, Baga Beach",Wildflower Hall (₹13000/night),Samosa,The Alchemist
Happy,Munbe Vaa,Deiva Thirumagal,Goa,"Hadimba Temple, Rohtang Pass, Solang Valley",Fragrant Nature (₹8500/night),Biryani,Big Magic
Adventurous,Ullam Urugudhaiya,Thani Oruvan,Shimla,"Hadimba Temple, Solang Valley, Rohtang Pass",Wildflower Hall (₹13000/night),Ice Cream,Ikigai
Romantic,Munbe Vaa,Vaaranam Aayiram,Goa,"Hadimba Temple, Rohtang Pass, Solang Valley",Sterling Kodai Lake (₹6000/night),Pasta,Big Magic
Happy,Munbe Vaa,Minnale,Kodaikanal,"Tea Gardens, Mattupetty Dam, Eravikulam National Park",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Ikigai
Happy,Ullam Urugudhaiya,Azhagiya Tamil Magan,Munnar,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Wildflower Hall (₹13000/night),Ice Cream,The Alchemist
Adventurous,Nenjukkul Peidhidum,Sillunu Oru Kadhal,Manali,"Coaker's Walk, Pillar Rocks, Bryant Park",Taj Savoy (₹10500/night),Ice Cream,Sapiens
Happy,Nenjukkul Peidhidum,Thani Oruvan,Ooty,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Tea County (₹7000/night),Ice Cream,Big Magic
Romantic,Munbe Vaa,Thani Oruvan,Munnar,"Doddabetta Peak, Botanical Garden, Ooty Lake",Sterling Kodai Lake (₹6000/night),Ice Cream,Big Magic
Calm,Munbe Vaa,Minnale,Ooty,"Kufri, Jakhoo Temple, Mall Road",Span Resort & Spa (₹10000/night),Pasta,Ikigai
Happy,Munbe Vaa,Sillunu Oru Kadhal,Manali,"Mall Road, Kufri, Jakhoo Temple",Tea County (₹7000/night),Pasta,Ikigai
Calm,Ullam Urugudhaiya,Azhagiya Tamil Magan,Kodaikanal,"Doddabetta Peak, Ooty Lake, Botanical Garden",The Leela (₹15000/night),Samosa,Big Magic
Adventurous,Ullam Urugudhaiya,Azhagiya Tamil Magan,Ooty,"Hadimba Temple, Solang Valley, Rohtang Pass",Taj Savoy (₹10500/night),Pasta,Atomic Habits
Adventurous,Nenjukkul Peidhidum,Minnale,Kodaikanal,"Tea Gardens, Eravikulam National Park, Mattupetty Dam",The Carlton (₹8000/night),Biryani,Ikigai
Calm,Ullam Urugudhaiya,Vaaranam Aayiram,Kodaikanal,"Bryant Park, Coaker's Walk, Pillar Rocks",Span Resort & Spa (₹10000/night),Samosa,Sapiens
Calm,Nenjukkul Peidhidum,Azhagiya Tamil Magan,Kodaikanal,"Hadimba Temple, Rohtang Pass, Solang Valley",The Leela (₹15000/night),Ice Cream,Ikigai
Happy,Ullam Urugudhaiya,Deiva Thirumagal,Ooty,"Coaker's Walk, Pillar Rocks, Bryant Park",Sterling Kodai Lake (₹6000/night),Pasta,Ikigai
Happy,Ullam Urugudhaiya,Vaaranam Aayiram,Manali,"Pillar Rocks, Bryant Park, Coaker's Walk",Savoy Ooty (₹9000/night),Ice Cream,Big Magic
Calm,Nenjukkul Peidhidum,Thani Oruvan,Munnar,"Aguada Fort, Dudhsagar Falls, Baga Beach",Manu Allaya Resort (₹7500/night),Pasta,Sapiens
Adventurous,Ullam Urugudhaiya,Minnale,Ooty,"Solang Valley, Rohtang Pass, Hadimba Temple",Span Resort & Spa (₹10000/night),Samosa,The Alchemist
Happy,Nenjukkul Peidhidum,Minnale,Shimla,"Doddabetta Peak, Ooty Lake, Botanical Garden",Sterling Kodai Lake (₹6000/night),Ice Cream,Big Magic
Adventurous,Ullam Urugudhaiya,Azhagiya Tamil Magan,Goa,"Hadimba Temple, Rohtang Pass, Solang Valley",Fragrant Nature (₹8500/night),Samosa,Ikigai
Romantic,Munbe Vaa,Azhagiya Tamil Magan,Manali,"Pillar Rocks, Bryant Park, Coaker's Walk",Taj Exotica (₹12000/night),Chocolate Ice Cream,Ikigai
Adventurous,Ullam Urugudhaiya,Sillunu Oru Kadhal,Munnar,"Hadimba Temple, Rohtang Pass, Solang Valley",Sterling Kodai Lake (₹6000/night),Pizza,Atomic Habits
Happy,Ullam Urugudhaiya,Minnale,Goa,"Kufri, Jakhoo Temple, Mall Road",Span Resort & Spa (₹10000/night),Ice Cream,Ikigai
Happy,Munbe Vaa,Minnale,Kodaikanal,"Bryant Park, Pillar Rocks, Coaker's Walk",Taj Savoy (₹10500/night),Pasta,Big Magic
Adventurous,Munbe Vaa,Minnale,Goa,"Baga Beach, Aguada Fort, Dudhsagar Falls",Tea County (₹7000/night),Ice Cream,Big Magic
Calm,Nenjukkul Peidhidum,Vaaranam Aayiram,Kodaikanal,"Solang Valley, Rohtang Pass, Hadimba Temple",Tea County (₹7000/night),Samosa,Big Magic
Calm,Ullam Urugudhaiya,Sillunu Oru Kadhal,Kodaikanal,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Taj Exotica (₹12000/night),Ice Cream,The Alchemist
Romantic,Munbe Vaa,Thani Oruvan,Goa,"Aguada Fort, Dudhsagar Falls, Baga Beach",Span Resort & Spa (₹10000/night),Chocolate Ice Cream,Big Magic
Romantic,Munbe Vaa,Thani Oruvan,Goa,"Kufri, Jakhoo Temple, Mall Road",Manu Allaya Resort (₹7500/night),Pizza,Big Magic
Calm,Nenjukkul Peidhidum,Sillunu Oru Kadhal,Kodaikanal,"Baga Beach, Aguada Fort, Dudhsagar Falls",Sterling Kodai Lake (₹6000/night),Samosa,Ikigai
Happy,Ullam Urugudhaiya,Deiva Thirumagal,Kodaikanal,"Hadimba Temple, Rohtang Pass, Solang Valley",Span Resort & Spa (₹10000/night),Pasta,Ikigai
Happy,Ullam Urugudhaiya,Vaaranam Aayiram,Ooty,"Tea Gardens, Eravikulam National Park, Mattupetty Dam",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Big Magic
Adventurous,Munbe Vaa,Deiva Thirumagal,Goa,"Aguada Fort, Dudhsagar Falls, Baga Beach",Span Resort & Spa (₹10000/night),Pasta,Sapiens
Calm,Ullam Urugudhaiya,Vaaranam Aayiram,Manali,"Hadimba Temple, Rohtang Pass, Solang Valley",The Carlton (₹8000/night),Samosa,Atomic Habits
Adventurous,Ullam Urugudhaiya,Thani Oruvan,Kodaikanal,"Doddabetta Peak, Botanical Garden, Ooty Lake",Manu Allaya Resort (₹7500/night),Chocolate Ice Cream,Ikigai
Romantic,Munbe Vaa,Vaaranam Aayiram,Manali,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Span Resort & Spa (₹10000/night),Biryani,Ikigai
Happy,Ullam Urugudhaiya,Deiva Thirumagal,Shimla,"Coaker's Walk, Pillar Rocks, Bryant Park",Taj Savoy (₹10500/night),Pasta,The Alchemist
Calm,Ullam Urugudhaiya,Deiva Thirumagal,Manali,"Coaker's Walk, Pillar Rocks, Bryant Park",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Ikigai
Happy,Nenjukkul Peidhidum,Minnale,Kodaikanal,"Mall Road, Kufri, Jakhoo Temple",Fragrant Nature (₹8500/night),Pizza,Ikigai
Happy,Ullam Urugudhaiya,Sillunu Oru Kadhal,Manali,"Botanical Garden, Doddabetta Peak, Ooty Lake",Tea County (₹7000/night),Chocolate Ice Cream,Sapiens
Adventurous,Munbe Vaa,Deiva Thirumagal,Munnar,"Kufri, Jakhoo Temple, Mall Road",Taj Exotica (₹12000/night),Ice Cream,The Alchemist
Adventurous,Munbe Vaa,Deiva Thirumagal,Goa,"Coaker's Walk, Pillar Rocks, Bryant Park",Sterling Kodai Lake (₹6000/night),Ice Cream,Big Magic
Romantic,Ullam Urugudhaiya,Deiva Thirumagal,Kodaikanal,"Hadimba Temple, Rohtang Pass, Solang Valley",Span Resort & Spa (₹10000/night),Biryani,Ikigai
Calm,Nenjukkul Peidhidum,Thani Oruvan,Goa,"Doddabetta Peak, Ooty Lake, Botanical Garden",Manu Allaya Resort (₹7500/night),Samosa,Big Magic
Romantic,Munbe Vaa,Deiva Thirumagal,Kodaikanal,"Pillar Rocks, Coaker's Walk, Bryant Park",Taj Savoy (₹10500/night),Ice Cream,The Alchemist
Happy,Munbe Vaa,Vaaranam Aayiram,Ooty,"Aguada Fort, Dudhsagar Falls, Baga Beach",Manu Allaya Resort (₹7500/night),Biryani,Ikigai
Calm,Munbe Vaa,Minnale,Manali,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Big Magic
Happy,Nenjukkul Peidhidum,Vaaranam Aayiram,Ooty,"Aguada Fort, Baga Beach, Dudhsagar Falls",Manu Allaya Resort (₹7500/night),Biryani,Sapiens
Happy,Munbe Vaa,Sillunu Oru Kadhal,Manali,"Coaker's Walk, Bryant Park, Pillar Rocks",Span Resort & Spa (₹10000/night),Biryani,Sapiens
Calm,Ullam Urugudhaiya,Sillunu Oru Kadhal,Ooty,"Hadimba Temple, Rohtang Pass, Solang Valley",Tea County (₹7000/night),Pasta,Ikigai
Calm,Munbe Vaa,Thani Oruvan,Munnar,"Ooty Lake, Doddabetta Peak, Botanical Garden",Taj Exotica (₹12000/night),Ice Cream,Ikigai
Happy,Munbe Vaa,Vaaranam Aayiram,Manali,"Hadimba Temple, Rohtang Pass, Solang Valley",Span Resort & Spa (₹10000/night),Ice Cream,Atomic Habits
Happy,Munbe Vaa,Minnale,Manali,"Solang Valley, Rohtang Pass, Hadimba Temple",The Carlton (₹8000/night),Pasta,Sapiens
Happy,Nenjukkul Peidhidum,Thani Oruvan,Goa,"Kufri, Jakhoo Temple, Mall Road",Span Resort & Spa (₹10000/night),Ice Cream,Sapiens
Happy,Ullam Urugudhaiya,Sillunu Oru Kadhal,Goa,"Hadimba Temple, Rohtang Pass, Solang Valley",Taj Savoy (₹10500/night),Biryani,Atomic Habits
Happy,Munbe Vaa,Minnale,Kodaikanal,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Taj Savoy (₹10500/night),Ice Cream,Ikigai
Happy,Munbe Vaa,Minnale,Manali,"Solang Valley, Rohtang Pass, Hadimba Temple",Taj Exotica (₹12000/night),Pizza,Atomic Habits
Calm,Ullam Urugudhaiya,Thani Oruvan,Ooty,"Ooty Lake, Doddabetta Peak, Botanical Garden",Wildflower Hall (₹13000/night),Pizza,Big Magic
Adventurous,Munbe Vaa,Thani Oruvan,Munnar,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Taj Exotica (₹12000/night),Ice Cream,Big Magic
Happy,Munbe Vaa,Vaaranam Aayiram,Ooty,"Pillar Rocks, Coaker's Walk, Bryant Park",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Ikigai
Happy,Munbe Vaa,Sillunu Oru Kadhal,Kodaikanal,"Kufri, Jakhoo Temple, Mall Road",Sterling Kodai Lake (₹6000/night),Biryani,Ikigai
Adventurous,Nenjukkul Peidhidum,Azhagiya Tamil Magan,Kodaikanal,"Doddabetta Peak, Botanical Garden, Ooty Lake",Manu Allaya Resort (₹7500/night),Samosa,Atomic Habits
Happy,Ullam Urugudhaiya,Azhagiya Tamil Magan,Ooty,"Dudhsagar Falls, Aguada Fort, Baga Beach",Taj Exotica (₹12000/night),Pizza,Big Magic
Adventurous,Ullam Urugudhaiya,Vaaranam Aayiram,Munnar,"Pillar Rocks, Coaker's Walk, Bryant Park",Wildflower Hall (₹13000/night),Pasta,Ikigai
Happy,Ullam Urugudhaiya,Azhagiya Tamil Magan,Manali,"Coaker's Walk, Pillar Rocks, Bryant Park",Taj Savoy (₹10500/night),Pizza,Big Magic
Adventurous,Ullam Urugudhaiya,Sillunu Oru Kadhal,Shimla,"Aguada Fort, Dudhsagar Falls, Baga Beach",Tea County (₹7000/night),Samosa,Atomic Habits
Adventurous,Ullam Urugudhaiya,Vaaranam Aayiram,Goa,"Bryant Park, Coaker's Walk, Pillar Rocks",Sterling Kodai Lake (₹6000/night),Biryani,Ikigai
Romantic,Nenjukkul Peidhidum,Sillunu Oru Kadhal,Kodaikanal,"Coaker's Walk, Pillar Rocks, Bryant Park",The Carlton (₹8000/night),Samosa,Sapiens
Happy,Munbe Vaa,Thani Oruvan,Munnar,"Ooty Lake, Doddabetta Peak, Botanical Garden",Taj Exotica (₹12000/night),Ice Cream,Sapiens
Adventurous,Munbe Vaa,Azhagiya Tamil Magan,Goa,"Hadimba Temple, Rohtang Pass, Solang Valley",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Atomic Habits
Calm,Ullam Urugudhaiya,Thani Oruvan,Manali,"Aguada Fort, Baga Beach, Dudhsagar Falls",Tea County (₹7000/night),Samosa,Ikigai
Happy,Munbe Vaa,Sillunu Oru Kadhal,Ooty,"Hadimba Temple, Rohtang Pass, Solang Valley",Tea County (₹7000/night),Chocolate Ice Cream,Ikigai
Adventurous,Ullam Urugudhaiya,Vaaranam Aayiram,Kodaikanal,"Tea Gardens, Eravikulam National Park, Mattupetty Dam",Sterling Kodai Lake (₹6000/night),Pasta,Big Magic
Calm,Nenjukkul Peidhidum,Minnale,Munnar,"Solang Valley, Rohtang Pass, Hadimba Temple",Fragrant Nature (₹8500/night),Ice Cream,Sapiens
Happy,Munbe Vaa,Vaaranam Aayiram,Goa,"Doddabetta Peak, Botanical Garden, Ooty Lake",Savoy Ooty (₹9000/night),Chocolate Ice Cream,Sapiens
Calm,Ullam Urugudhaiya,Vaaranam Aayiram,Kodaikanal,"Ooty Lake, Doddabetta Peak, Botanical Garden",Fragrant Nature (₹8500/night),Biryani,Atomic Habits
Calm,Munbe Vaa,Sillunu Oru Kadhal,Shimla,"Hadimba Temple, Solang Valley, Rohtang Pass",Savoy Ooty (₹9000/night),Ice Cream,The Alchemist
Romantic,Munbe Vaa,Sillunu Oru Kadhal,Ooty,"Pillar Rocks, Bryant Park, Coaker's Walk",Sterling Kodai Lake (₹6000/night),Samosa,The Alchemist
Happy,Munbe Vaa,Sillunu Oru Kadhal,Munnar,"Solang Valley, Rohtang Pass, Hadimba Temple",Taj Savoy (₹10500/night),Biryani,Atomic Habits
Calm,Munbe Vaa,Sillunu Oru Kadhal,Kodaikanal,"Hadimba Temple, Solang Valley, Rohtang Pass",Wildflower Hall (₹13000/night),Pizza,Atomic Habits
Adventurous,Munbe Vaa,Vaaranam Aayiram,Ooty,"Coaker's Walk, Pillar Rocks, Bryant Park",The Leela (₹15000/night),Pasta,The Alchemist
Happy,Munbe Vaa,Thani Oruvan,Manali,"Doddabetta Peak, Botanical Garden, Ooty Lake",Taj Savoy (₹10500/night),Biryani,The Alchemist
Calm,Ullam Urugudhaiya,Minnale,Kodaikanal,"Kufri, Jakhoo Temple, Mall Road",Taj Exotica (₹12000/night),Pizza,Sapiens
Calm,Ullam Urugudhaiya,Minnale,Kodaikanal,"Kufri, Jakhoo Temple, Mall Road",Tea County (₹7000/night),Biryani,Atomic Habits
Adventurous,Nenjukkul Peidhidum,Azhagiya Tamil Magan,Kodaikanal,"Hadimba Temple, Solang Valley, Rohtang Pass",Taj Savoy (₹10500/night),Pizza,Ikigai
Romantic,Nenjukkul Peidhidum,Azhagiya Tamil Magan,Munnar,"Tea Gardens, Eravikulam National Park, Mattupetty Dam",Sterling Kodai Lake (₹6000/night),Pasta,Ikigai
Romantic,Ullam Urugudhaiya,Minnale,Kodaikanal,"Kufri, Jakhoo Temple, Mall Road",Taj Savoy (₹10500/night),Pizza,Sapiens
Happy,Ullam Urugudhaiya,Deiva Thirumagal,Kodaikanal,"Dudhsagar Falls, Baga Beach, Aguada Fort",The Leela (₹15000/night),Samosa,Ikigai
Romantic,Munbe Vaa,Thani Oruvan,Munnar,"Dudhsagar Falls, Aguada Fort, Baga Beach",Fragrant Nature (₹8500/night),Samosa,Ikigai
Happy,Munbe Vaa,Azhagiya Tamil Magan,Ooty,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Taj Exotica (₹12000/night),Pizza,Big Magic
Adventurous,Nenjukkul Peidhidum,Sillunu Oru Kadhal,Kodaikanal,"Aguada Fort, Baga Beach, Dudhsagar Falls",Span Resort & Spa (₹10000/night),Pasta,Ikigai
Romantic,Ullam Urugudhaiya,Vaaranam Aayiram,Ooty,"Botanical Garden, Doddabetta Peak, Ooty Lake",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Ikigai
Happy,Munbe Vaa,Vaaranam Aayiram,Ooty,"Solang Valley, Rohtang Pass, Hadimba Temple",Taj Savoy (₹10500/night),Chocolate Ice Cream,Ikigai
Calm,Ullam Urugudhaiya,Vaaranam Aayiram,Munnar,"Botanical Garden, Doddabetta Peak, Ooty Lake",Tea County (₹7000/night),Pasta,Big Magic
Adventurous,Munbe Vaa,Deiva Thirumagal,Goa,"Coaker's Walk, Bryant Park, Pillar Rocks",Taj Savoy (₹10500/night),Samosa,Atomic Habits
Calm,Munbe Vaa,Thani Oruvan,Manali,"Aguada Fort, Dudhsagar Falls, Baga Beach",The Carlton (₹8000/night),Ice Cream,Ikigai
Calm,Munbe Vaa,Sillunu Oru Kadhal,Kodaikanal,"Kufri, Jakhoo Temple, Mall Road",Sterling Kodai Lake (₹6000/night),Samosa,Big Magic
Happy,Munbe Vaa,Vaaranam Aayiram,Goa,"Mall Road, Kufri, Jakhoo Temple",Taj Savoy (₹10500/night),Chocolate Ice Cream,Big Magic
Happy,Munbe Vaa,Thani Oruvan,Kodaikanal,"Doddabetta Peak, Ooty Lake, Botanical Garden",Fragrant Nature (₹8500/night),Biryani,Sapiens
Romantic,Ullam Urugudhaiya,Deiva Thirumagal,Ooty,"Doddabetta Peak, Ooty Lake, Botanical Garden",The Leela (₹15000/night),Chocolate Ice Cream,The Alchemist
Calm,Munbe Vaa,Sillunu Oru Kadhal,Munnar,"Hadimba Temple, Rohtang Pass, Solang Valley",Span Resort & Spa (₹10000/night),Pasta,Sapiens
Adventurous,Ullam Urugudhaiya,Thani Oruvan,Ooty,"Ooty Lake, Doddabetta Peak, Botanical Garden",Wildflower Hall (₹13000/night),Biryani,Ikigai
Adventurous,Nenjukkul Peidhidum,Minnale,Shimla,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Span Resort & Spa (₹10000/night),Pasta,Big Magic
Happy,Ullam Urugudhaiya,Vaaranam Aayiram,Shimla,"Pillar Rocks, Coaker's Walk, Bryant Park",Sterling Kodai Lake (₹6000/night),Samosa,The Alchemist
Romantic,Nenjukkul Peidhidum,Vaaranam Aayiram,Goa,"Bryant Park, Pillar Rocks, Coaker's Walk",Sterling Kodai Lake (₹6000/night),Pasta,Big Magic
Adventurous,Nenjukkul Peidhidum,Vaaranam Aayiram,Manali,"Hadimba Temple, Rohtang Pass, Solang Valley",Wildflower Hall (₹13000/night),Pizza,Big Magic
Adventurous,Munbe Vaa,Minnale,Manali,"Hadimba Temple, Solang Valley, Rohtang Pass",Taj Savoy (₹10500/night),Samosa,Sapiens
Happy,Ullam Urugudhaiya,Vaaranam Aayiram,Shimla,"Hadimba Temple, Rohtang Pass, Solang Valley",Taj Savoy (₹10500/night),Samosa,The Alchemist
Calm,Ullam Urugudhaiya,Sillunu Oru Kadhal,Ooty,"Hadimba Temple, Rohtang Pass, Solang Valley",Fragrant Nature (₹8500/night),Biryani,Big Magic
Adventurous,Ullam Urugudhaiya,Vaaranam Aayiram,Kodaikanal,"Solang Valley, Rohtang Pass, Hadimba Temple",Fragrant Nature (₹8500/night),Samosa,Atomic Habits
Romantic,Ullam Urugudhaiya,Sillunu Oru Kadhal,Kodaikanal,"Coaker's Walk, Pillar Rocks, Bryant Park",Taj Savoy (₹10500/night),Pizza,Ikigai
Happy,Ullam Urugudhaiya,Sillunu Oru Kadhal,Munnar,"Botanical Garden, Doddabetta Peak, Ooty Lake",Wildflower Hall (₹13000/night),Biryani,Ikigai
Calm,Nenjukkul Peidhidum,Thani Oruvan,Kodaikanal,"Doddabetta Peak, Ooty Lake, Botanical Garden",Savoy Ooty (₹9000/night),Ice Cream,Big Magic
Romantic,Munbe Vaa,Sillunu Oru Kadhal,Manali,"Dudhsagar Falls, Baga Beach, Aguada Fort",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,The Alchemist
Happy,Munbe Vaa,Vaaranam Aayiram,Goa,"Dudhsagar Falls, Aguada Fort, Baga Beach",Taj Savoy (₹10500/night),Ice Cream,The Alchemist
Romantic,Munbe Vaa,Vaaranam Aayiram,Kodaikanal,"Aguada Fort, Baga Beach, Dudhsagar Falls",Savoy Ooty (₹9000/night),Pasta,Atomic Habits
Adventurous,Munbe Vaa,Thani Oruvan,Manali,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Manu Allaya Resort (₹7500/night),Samosa,Big Magic
Happy,Munbe Vaa,Thani Oruvan,Kodaikanal,"Hadimba Temple, Rohtang Pass, Solang Valley",Wildflower Hall (₹13000/night),Samosa,Big Magic
Adventurous,Nenjukkul Peidhidum,Vaaranam Aayiram,Ooty,"Bryant Park, Coaker's Walk, Pillar Rocks",Manu Allaya Resort (₹7500/night),Biryani,Atomic Habits
Adventurous,Munbe Vaa,Minnale,Ooty,"Ooty Lake, Doddabetta Peak, Botanical Garden",Sterling Kodai Lake (₹6000/night),Pasta,Ikigai
Romantic,Nenjukkul Peidhidum,Minnale,Ooty,"Bryant Park, Coaker's Walk, Pillar Rocks",Taj Exotica (₹12000/night),Ice Cream,Ikigai
Calm,Munbe Vaa,Thani Oruvan,Kodaikanal,"Coaker's Walk, Bryant Park, Pillar Rocks",Span Resort & Spa (₹10000/night),Pizza,Ikigai
Calm,Nenjukkul Peidhidum,Azhagiya Tamil Magan,Kodaikanal,"Bryant Park, Coaker's Walk, Pillar Rocks",The Carlton (₹8000/night),Biryani,Ikigai
Happy,Munbe Vaa,Minnale,Ooty,"Coaker's Walk, Bryant Park, Pillar Rocks",Sterling Kodai Lake (₹6000/night),Pasta,Big Magic
Happy,Ullam Urugudhaiya,Vaaranam Aayiram,Manali,"Hadimba Temple, Rohtang Pass, Solang Valley",Span Resort & Spa (₹10000/night),Ice Cream,Ikigai
Happy,Ullam Urugudhaiya,Thani Oruvan,Shimla,"Solang Valley, Rohtang Pass, Hadimba Temple",The Leela (₹15000/night),Ice Cream,Big Magic
Happy,Munbe Vaa,Azhagiya Tamil Magan,Kodaikanal,"Baga Beach, Aguada Fort, Dudhsagar Falls",Sterling Kodai Lake (₹6000/night),Pasta,Big Magic
Happy,Nenjukkul Peidhidum,Thani Oruvan,Kodaikanal,"Doddabetta Peak, Ooty Lake, Botanical Garden",Taj Exotica (₹12000/night),Biryani,The Alchemist
Happy,Munbe Vaa,Thani Oruvan,Manali,"Coaker's Walk, Bryant Park, Pillar Rocks",Manu Allaya Resort (₹7500/night),Ice Cream,Ikigai
Adventurous,Munbe Vaa,Deiva Thirumagal,Goa,"Botanical Garden, Doddabetta Peak, Ooty Lake",Sterling Kodai Lake (₹6000/night),Ice Cream,Big Magic
Adventurous,Nenjukkul Peidhidum,Thani Oruvan,Goa,"Aguada Fort, Baga Beach, Dudhsagar Falls",Span Resort & Spa (₹10000/night),Pasta,Big Magic
Happy,Nenjukkul Peidhidum,Minnale,Ooty,"Coaker's Walk, Pillar Rocks, Bryant Park",Span Resort & Spa (₹10000/night),Samosa,Big Magic
Happy,Ullam Urugudhaiya,Thani Oruvan,Goa,"Dudhsagar Falls, Aguada Fort, Baga Beach",Taj Exotica (₹12000/night),Pizza,Atomic Habits
Calm,Nenjukkul Peidhidum,Thani Oruvan,Kodaikanal,"Solang Valley, Rohtang Pass, Hadimba Temple",Taj Exotica (₹12000/night),Biryani,Ikigai
Calm,Munbe Vaa,Thani Oruvan,Munnar,"Solang Valley, Rohtang Pass, Hadimba Temple",Sterling Kodai Lake (₹6000/night),Pizza,Big Magic
Adventurous,Ullam Urugudhaiya,Vaaranam Aayiram,Kodaikanal,"Coaker's Walk, Pillar Rocks, Bryant Park",Span Resort & Spa (₹10000/night),Ice Cream,Ikigai
Happy,Ullam Urugudhaiya,Minnale,Kodaikanal,"Hadimba Temple, Rohtang Pass, Solang Valley",Sterling Kodai Lake (₹6000/night),Biryani,Big Magic
Calm,Munbe Vaa,Minnale,Manali,"Pillar Rocks, Bryant Park, Coaker's Walk",The Leela (₹15000/night),Samosa,Ikigai
Calm,Ullam Urugudhaiya,Minnale,Shimla,"Aguada Fort, Dudhsagar Falls, Baga Beach",The Carlton (₹8000/night),Chocolate Ice Cream,Ikigai
Romantic,Nenjukkul Peidhidum,Deiva Thirumagal,Kodaikanal,"Kufri, Jakhoo Temple, Mall Road",Sterling Kodai Lake (₹6000/night),Ice Cream,Ikigai
Adventurous,Munbe Vaa,Deiva Thirumagal,Ooty,"Coaker's Walk, Pillar Rocks, Bryant Park",Tea County (₹7000/night),Samosa,Ikigai
Romantic,Munbe Vaa,Minnale,Manali,"Hadimba Temple, Solang Valley, Rohtang Pass",Fragrant Nature (₹8500/night),Samosa,Ikigai
Calm,Munbe Vaa,Minnale,Shimla,"Pillar Rocks, Bryant Park, Coaker's Walk",Sterling Kodai Lake (₹6000/night),Ice Cream,Atomic Habits
Romantic,Munbe Vaa,Minnale,Munnar,"Solang Valley, Rohtang Pass, Hadimba Temple",Span Resort & Spa (₹10000/night),Ice Cream,Ikigai
Adventurous,Nenjukkul Peidhidum,Vaaranam Aayiram,Munnar,"Coaker's Walk, Pillar Rocks, Bryant Park",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Atomic Habits
Happy,Nenjukkul Peidhidum,Vaaranam Aayiram,Goa,"Tea Gardens, Mattupetty Dam, Eravikulam National Park",Manu Allaya Resort (₹7500/night),Biryani,Sapiens
Romantic,Nenjukkul Peidhidum,Minnale,Goa,"Bryant Park, Coaker's Walk, Pillar Rocks",Sterling Kodai Lake (₹6000/night),Pasta,Big Magic
Romantic,Ullam Urugudhaiya,Vaaranam Aayiram,Munnar,"Dudhsagar Falls, Aguada Fort, Baga Beach",Sterling Kodai Lake (₹6000/night),Samosa,Atomic Habits
Adventurous,Munbe Vaa,Minnale,Goa,"Bryant Park, Pillar Rocks, Coaker's Walk",Fragrant Nature (₹8500/night),Pasta,Atomic Habits
Adventurous,Munbe Vaa,Deiva Thirumagal,Kodaikanal,"Botanical Garden, Doddabetta Peak, Ooty Lake",Taj Exotica (₹12000/night),Samosa,Ikigai
